Ability Capsule
Ability Urge
Abomasite
Absolite
Absorb Bulb
Acro Bike
Adamant Orb
Adrenaline Orb
Adventure Guide
Aerodactylite
Aggronite
Aguav Berry
Air Balloon
Air Mail
Alakazite
Aloraichium Z
Altarianite
Amaze Mulch
Ampharosite
Amulet Coin
Antidote
Apicot Berry
Apricorn Box
Aqua Suit
Armor Fossil
Aspear Berry
Assault Vest
Audinite
AuroraTicket
Awakening
Azure Flute
Babiri Berry
Balm Mushroom
Banettite
Basement Key
Basement Key
Bead Mail
Beast Ball
Beedrillite
Belue Berry
Berry
Berry Juice
Berry Pots
Berry Pouch
Berserk Gene
Bicycle
Big Malasada
Big Mushroom
Big Nugget
Big Pearl
Big Root
Bike Voucher
Binding Band
Bitter Berry
Black Apricorn
Black Belt
Black Glasses
Black Flute
Black Sludge
Blastoisinite
Blazikenite
Bloom Mail
Blue Apricorn
Blue Card
Blue Flute
Blue Orb
Blue Petal
Blue Scarf
Blue Shard
Bluesky Mail
Blu ID Badge
Bluk Berry
Bonsly Card
Bonsly Photo
Boost Mulch
Bottle Cap
Brick Mail
Brick Piece
BridgeMail
Bright Powder
Bubble Mail
Bug Gem
Bug Memory
Buginium Z
Burn Drive
Burn Heal
Burnt Berry
Calcium
Cameruptite
Carbos
Card Key
Card Key
Card Key
Casteliacone
Cell Battery
Charcoal
Charizardite X
Charizardite Y
Charti Berry
Cheri Berry
Cherish Ball
Chesto Berry
Chilan Berry
Chilan Berry
Chill Drive
Chople Berry
Choice Band
Choice Scarf
Choice Specs
Claw Fossil
Cleanse Tag
Clear Bell
Clever Wing
Coba Berry
Coin Case
Colbur Berry
Cologne Case
Colress Machine
Comet Shard
Common Stone
Contest Costume
Contest Pass
Cornn Berry
Coupon
Cover Fossil
Cry Analyzer
Custap Berry
Damp Mulch
Damp Rock
Dark Gem
Dark Memory
Darkinium Z
Dark Stone
Data ROM
Dawn Stone
D-Disk
Decidium Z
Deep Sea Scale
Deep Sea Tooth
Destiny Knot
Devon Parts
Devon Scope
Devon Scuba Gear
Diancite
Dire Hit
Disc Case
Discount Coupon
Dive Ball
DNA Sample
DNA Splicers
Dome Fossil
Douse Drive
Down St. Key
Dowsing Machine
Draco Plate
Dragon Fang
Dragon Gem
Dragon Memory
Dragonium Z
Dragon Scale
Dragon Skull
Drash Berry
Dread Plate
Dream Ball
Dream Mail
Dropped Item
Dubious Disc
Durin Berry
Dusk Ball
Dusk Stone
Earth Plate
Eevium Z
Egg Ticket
Eggant Berry
Ein File
Eject Button
Electirizer
Electric Gem
Electric Memory
Electric Seed
Electrium Z
Elevator Key
Elevator Key
Elevator Key
Elixir
Energy Powder
Energy Root
Enigma Berry
Enigma Stone
Enigmatic Card
Eon Flute
Eon Mail
Eon Ticket
Escape Rope
Ether
Everstone
Eviolite
Excite Scent
Explorer Kit
Exp. Share
Expert Belt
Fab Mail
Fairium Z
Fairy Gem
Fairy Memory
Fame Checker
Fashion Case
Fast Ball
Favored Mail
F-Disk
Festival Ticket
Fighting Gem
Fighting Memory
Fightinium Z
Figy Berry
Fire Gem
Fire Memory
Fire Stone
Firium Z
Fishing Rod
Fist Plate
Flame Mail
Flame Orb
Flame Plate
Float Stone
Flower Mail
Fluffy Tail
Flying Gem
Flying Memory
Flyinium Z
Focus Band
Focus Sash
Forage Bag
Fresh Water
Friend Ball
Full Heal
Full Incense
Full Restore
Galactic Key
Galladite
Ganlon Berry
Garchompite
Gardevoirite
GB Sounds
Gear
Gengarite
Genius Wing
Ghost Gem
Ghost Memory
Ghostium Z
Ginema Berry
Glalitite
Glitter Mail
Go-Goggles
God Stone
Gold Berry
Gold Bottle Cap
Gold Leaf
Gold Teeth
Gonzap's Key
Good Rod
Gooey Mulch
Gorgeous Box
Gracidea
Gram
Grass Gem
Grass Memory
Grassium Z
Grass Mail
Grassy Seed
Great Ball
Green Apricorn
Green Petal
Green Scarf
Green Shard
Greet Mail
Grepa Berry
Grip Claw
Griseous Orb
Grn ID Badge
Ground Gem
Ground Memory
Groundium Z
Growth Mulch
Grubby Hanky
GS Ball
Guard Spec.
Gyaradosite
Haban Berry
Harbor Mail
Hard Stone
Heal Ball
Heal Powder
Health Wing
Heart Mail
Heart Scale
Heat Rock
Heavy Ball
Helix Fossil
Heracronite
HMs
Holo Caster
Hondew Berry
Honey
Honor of Kalos
Houndoominite
HP Up
Hyper Potion
Iapapa Berry
Ice Berry
Ice Gem
Ice Heal
Ice Memory
Ice Stone
Icicle Plate
Icium Z
Icy Rock
ID Card
Ilima's Normalium Z
Incinium Z
Inquiry Mail
Insect Plate
Intriguing Stone
Iron
Iron Ball
Iron Plate
Item Drop
Item Urge
Jaboca Berry
Jade Orb
Jail Key
Jaw Fossil
Journal
Joy Scent
Kangaskhanite
Kebia Berry
Kee Berry
Kasib Berry
Kelpsy Berry
Key to Room
King's Rock
Kommonium Z
Krane Memo
Kuo Berry
Lagging Tail
Lansat Berry
Latiasite
Latiosite
Lava Cookie
Lax Incense
L-Disk
Leaf Stone
Leek
Leftovers
Left Poké Ball
Lemonade
Lens Case
Leppa Berry
Letter
Level Ball
Liberty Pass
Liechi Berry
Life Orb
Lift Key
Light Ball
Light Clay
Light Stone
Like Mail
Litebluemail
Lock Capsule
Looker Ticket
Lopunnite
Lost Item
Love Ball
Lovely Mail
Lucarionite
Luck Incense
Lucky Egg
Lucky Punch
Lum Berry
Luminous Moss
Lumiose Galette
Lunalium Z
Lunar Wing
Lure Ball
Lustrous Orb
Luxury Ball
Lycanium Z
Mach Bike
Machine Part
Machine Part
Macho Brace
Magma Emblem
Magmarizer
Magma Stone
Magma Suit
Magnet
Mago Berry
Magost Berry
Maingate Key
Makeup Bag
Manectite
Maranga Berry
Marshadium Z
Master Ball
Mawilite
Max Elixir
Max Ether
Max Potion
Max Repel
Max Revive
